NO,나이,이직여부,출장빈도,일급여,부서,출근거리,학력수준,전공,직원수,고유번호,환경만족도,성별,시급,직무참여도,직급,직무,직무만족도,결혼여부,월급,월급여총액,근무회사수,18세이상,초과근무여부,급여인상비율,성과평가등급,동료관계만족도,표준근무시간,주식옵션수준,근무연수,교육횟수,워라밸만족도,회사근무기간,현재역할근무기간,승진경과기간,현재관리자와근무기간,이름
336,43,N,많음,1082,연구개발,27,3,생명과학,1,1126,3,여자,83,3,3,제조 디렉터,1,결혼,10820,11535,8,Y,N,11,3,3,80,1,18,1,3,8,7,0,1,조채은
337,21,N,적음,984,연구개발,1,1,기술학위,1,1131,4,여자,70,2,1,분석가,2,미혼,2070,25326,1,Y,Y,11,3,3,80,0,2,6,4,2,2,2,2,강주비
338,29,N,많음,490,연구개발,10,3,생명과학,1,1143,4,여자,61,3,1,분석가,2,이혼,3291,17940,0,Y,N,14,3,4,80,2,8,2,2,7,5,1,1,채유은
339,33,Y,적음,603,판매,9,4,마케팅,1,1157,1,여자,77,3,2,영업사원,1,미혼,8224,18385,0,Y,Y,17,3,1,80,0,6,3,3,5,2,0,3,강유늘
340,37,N,적음,367,연구개발,25,2,의학,1,1161,3,여자,52,2,2,의료 담당자,4,이혼,5731,17171,7,Y,N,13,3,3,80,2,9,2,3,6,2,1,3,홍예주
341,34,N,적음,1400,판매,9,1,생명과학,1,1163,2,여자,70,3,2,영업사원,3,결혼,5714,5829,1,Y,N,20,4,1,80,0,6,3,2,6,5,1,3,박채연
342,29,Y,적음,408,판매,23,1,생명과학,1,1165,4,여자,45,2,3,영업사원,1,결혼,7336,11162,1,Y,N,13,3,1,80,1,11,3,1,11,8,3,10,김새영
343,40,N,많음,593,연구개발,9,4,의학,1,1166,2,여자,88,3,3,연구 디렉터,3,미혼,13499,13782,9,Y,N,17,3,3,80,0,20,3,2,18,7,2,13,조가연
344,28,Y,적음,1485,연구개발,12,1,생명과학,1,1175,3,여자,79,3,1,연구원,4,결혼,2515,22955,1,Y,Y,11,3,4,80,0,1,4,2,1,1,0,0,박규리
345,40,N,많음,902,연구개발,26,2,의학,1,1180,3,여자,92,2,2,분석가,4,결혼,4422,21203,3,Y,Y,13,3,4,80,1,16,3,1,1,1,0,0,김미저
346,43,Y,적음,1372,판매,9,3,마케팅,1,1188,1,여자,85,1,2,영업사원,3,미혼,5346,9489,8,Y,N,13,3,2,80,0,7,2,2,4,3,1,3,김유은
347,32,N,없음,862,판매,2,1,생명과학,1,1190,3,여자,76,3,1,영업 담당자,1,이혼,2827,14947,1,Y,N,12,3,3,80,3,1,3,3,1,0,0,0,김미비
348,56,N,적음,718,연구개발,4,4,기술학위,1,1191,4,여자,92,3,5,매니저,1,이혼,19943,18575,4,Y,N,13,3,4,80,1,28,2,3,5,2,4,2,유예선
349,29,N,적음,1401,연구개발,6,1,의학,1,1192,2,여자,54,3,1,연구원,4,결혼,3131,26342,1,Y,N,13,3,1,80,1,10,5,3,10,8,0,8,조미지
350,45,N,적음,1457,연구개발,7,3,의학,1,1195,1,여자,83,3,1,분석가,3,결혼,4477,20100,4,Y,Y,19,3,3,80,1,7,2,2,3,2,0,2,오지주
351,37,N,적음,977,연구개발,1,3,생명과학,1,1196,4,여자,56,2,2,제조 디렉터,4,결혼,6474,9961,1,Y,N,13,3,2,80,1,14,2,2,14,8,3,11,장주연
352,53,N,적음,1223,연구개발,7,2,의학,1,1201,4,여자,50,3,5,매니저,3,이혼,18606,18640,3,Y,N,18,3,2,80,1,26,6,3,7,7,4,7,김주지
353,29,N,적음,942,연구개발,15,1,생명과학,1,1202,2,여자,69,1,1,분석가,4,결혼,2168,26933,0,Y,Y,18,3,1,80,1,6,2,2,5,4,1,3,임소연
354,46,N,적음,1402,판매,2,3,마케팅,1,1204,3,여자,69,3,4,매니저,1,결혼,17048,24097,8,Y,N,23,4,1,80,0,28,2,3,26,15,15,9,송지미
355,50,N,많음,1421,연구개발,2,3,의학,1,1215,4,여자,30,3,4,매니저,1,결혼,17856,9490,2,Y,N,22,4,3,80,1,32,3,3,2,2,2,2,조저영
356,24,Y,적음,984,연구개발,17,2,생명과학,1,1219,4,여자,97,3,1,연구원,2,결혼,2210,3372,1,Y,N,13,3,1,80,1,1,3,1,1,0,0,0,송유은
357,33,N,많음,1146,판매,25,3,의학,1,1220,2,여자,82,3,2,영업사원,3,결혼,4539,4905,1,Y,N,12,3,1,80,1,10,3,2,10,7,0,1,유모영
358,32,N,많음,116,연구개발,13,3,기타,1,1234,3,여자,77,2,1,연구원,2,결혼,2743,7331,1,Y,N,20,4,3,80,1,2,2,3,2,2,2,2,이다연
359,32,N,많음,1316,연구개발,2,2,생명과학,1,1235,4,여자,38,3,2,분석가,3,미혼,4998,2338,4,Y,Y,14,3,4,80,0,10,2,3,8,7,0,7,김미연
360,36,N,적음,363,연구개발,1,3,기술학위,1,1237,3,여자,77,1,3,제조 디렉터,1,이혼,10252,4235,2,Y,Y,21,4,3,80,1,17,2,3,7,7,7,7,김미아
361,40,N,적음,107,판매,10,3,기술학위,1,1239,2,여자,84,2,2,영업사원,2,이혼,6852,11591,7,Y,N,12,3,2,80,1,7,2,4,5,1,1,3,황도연
362,42,N,많음,458,연구개발,26,5,의학,1,1242,1,여자,60,3,3,연구 디렉터,1,결혼,13191,23281,3,Y,Y,17,3,3,80,0,20,6,3,1,0,0,0,김규영
363,35,N,없음,1212,판매,8,2,마케팅,1,1243,3,여자,78,2,3,영업사원,4,결혼,10377,13755,4,Y,Y,11,3,2,80,1,16,6,2,13,2,4,12,명유지
364,54,N,많음,966,연구개발,1,4,생명과학,1,1245,4,여자,53,3,3,제조 디렉터,3,이혼,10502,9659,7,Y,N,17,3,1,80,1,33,2,1,5,4,1,4,공수연
365,44,N,적음,1117,연구개발,2,1,생명과학,1,1246,1,여자,72,4,1,분석가,4,결혼,2011,19982,1,Y,N,13,3,4,80,1,10,5,3,10,5,7,7,김하주
366,19,Y,없음,504,연구개발,10,3,의학,1,1248,1,여자,96,2,1,분석가,2,미혼,1859,6148,1,Y,Y,25,4,2,80,0,1,2,4,1,1,0,0,김세연
367,29,N,적음,1010,연구개발,1,3,생명과학,1,1249,1,여자,97,3,1,분석가,4,이혼,3760,5598,1,Y,N,15,3,1,80,3,3,5,3,3,2,1,2,조수안
368,31,N,적음,1062,연구개발,24,3,의학,1,1252,3,여자,96,2,2,의료 담당자,1,미혼,6812,17198,1,Y,N,19,3,2,80,0,10,2,3,10,9,1,8,김하하
369,59,N,적음,326,판매,3,3,생명과학,1,1254,3,여자,48,2,2,영업사원,4,미혼,5171,16490,5,Y,N,17,3,4,80,0,13,2,3,6,1,0,5,박미견
370,29,N,적음,694,연구개발,1,3,생명과학,1,1264,4,여자,87,2,4,연구 디렉터,4,이혼,16124,3423,3,Y,N,14,3,2,80,2,9,2,2,7,7,1,7,박하원
371,34,N,적음,1320,연구개발,20,3,기술학위,1,1265,3,여자,89,4,1,분석가,3,결혼,2585,21643,0,Y,N,17,3,4,80,0,2,5,2,1,0,0,0,양다리
372,19,N,적음,265,연구개발,25,3,생명과학,1,1269,2,여자,57,4,1,분석가,4,미혼,2994,21221,1,Y,Y,12,3,4,80,0,1,2,3,1,0,0,1,하수원
373,45,Y,적음,1449,판매,2,3,마케팅,1,1277,1,여자,94,1,5,매니저,2,미혼,18824,2493,2,Y,Y,16,3,1,80,0,26,2,3,24,10,1,11,조하서
374,21,Y,많음,251,연구개발,10,2,생명과학,1,1279,1,여자,45,2,1,연구원,3,미혼,2625,25308,1,Y,N,20,4,3,80,0,2,2,1,2,2,2,2,곽아미
375,46,N,적음,168,판매,4,2,마케팅,1,1280,4,여자,33,2,5,매니저,2,결혼,18789,9946,2,Y,N,14,3,3,80,1,26,2,3,11,4,0,8,김다솔
376,34,N,적음,131,판매,2,3,마케팅,1,1281,3,여자,86,3,2,영업사원,1,미혼,4538,6039,0,Y,Y,12,3,4,80,0,4,3,3,3,2,0,2,김주원
377,34,N,많음,135,연구개발,19,3,의학,1,1285,3,여자,46,3,2,연구원,2,이혼,4444,22534,4,Y,N,13,3,3,80,2,15,2,4,11,8,5,10,전다지
378,42,N,적음,603,연구개발,7,4,의학,1,1292,2,여자,78,4,2,분석가,2,결혼,2372,5628,6,Y,Y,16,3,4,80,0,18,2,3,1,0,0,0,김소수
379,43,N,적음,531,판매,4,4,마케팅,1,1293,4,여자,56,2,3,영업사원,4,미혼,10231,20364,3,Y,N,14,3,4,80,0,23,3,4,21,7,15,17,김가비
380,36,N,적음,429,연구개발,2,4,생명과학,1,1294,3,여자,53,3,2,제조 디렉터,2,미혼,5410,2323,9,Y,Y,11,3,4,80,0,18,2,3,16,14,5,12,이연지
381,44,Y,적음,621,연구개발,15,3,의학,1,1295,1,여자,73,3,3,의료 담당자,4,결혼,7978,14075,1,Y,N,11,3,4,80,1,10,2,3,10,7,0,5,이이연
382,51,N,많음,968,연구개발,6,2,의학,1,1297,2,여자,40,2,1,연구원,3,미혼,2838,4257,0,Y,N,14,3,2,80,0,8,6,2,7,0,7,7,서미은
383,30,N,없음,879,연구개발,9,2,의학,1,1298,3,여자,72,3,2,제조 디렉터,3,미혼,4695,12858,7,Y,Y,18,3,3,80,0,10,3,3,8,4,1,7,소지서
384,29,Y,적음,806,연구개발,7,3,기술학위,1,1299,2,여자,39,3,1,연구원,3,이혼,3339,17285,3,Y,Y,13,3,1,80,2,10,2,3,7,7,7,7,이미채
385,25,N,적음,266,연구개발,1,3,의학,1,1303,4,여자,40,3,1,분석가,2,미혼,2096,18830,1,Y,N,18,3,4,80,0,2,3,2,2,2,2,1,이연은
386,45,N,많음,364,연구개발,25,3,의학,1,1306,2,여자,83,3,5,매니저,2,미혼,18061,13035,3,Y,N,22,4,3,80,0,22,4,3,0,0,0,0,위유연
387,39,N,적음,412,연구개발,13,4,의학,1,1307,3,여자,94,2,4,매니저,2,이혼,17123,17334,6,Y,Y,13,3,4,80,2,21,4,3,19,9,15,2,서가연
388,30,N,적음,1138,연구개발,6,3,기술학위,1,1311,1,여자,48,2,2,연구원,4,결혼,4627,23631,0,Y,N,12,3,1,80,1,10,6,3,9,2,6,7,조하원
389,36,N,적음,325,연구개발,10,4,기술학위,1,1312,4,여자,63,3,3,의료 담당자,3,결혼,7094,5747,3,Y,N,12,3,1,80,0,10,0,3,7,7,1,7,이미나
390,46,N,적음,991,인적자원,1,2,생명과학,1,1314,4,여자,44,3,1,인적자원,1,미혼,3423,22957,6,Y,N,12,3,3,80,0,10,3,4,7,6,5,7,이서원
391,28,N,없음,1476,연구개발,1,3,생명과학,1,1315,3,여자,55,1,2,연구원,4,결혼,6674,16392,0,Y,N,11,3,1,80,3,10,6,3,9,8,7,5,조소나
392,50,N,적음,1322,연구개발,28,3,생명과학,1,1317,4,여자,43,3,4,연구 디렉터,1,결혼,16880,22422,4,Y,Y,11,3,2,80,0,25,2,3,3,2,1,2,정의저
393,30,N,적음,634,연구개발,17,4,의학,1,1321,2,여자,95,3,3,매니저,1,결혼,11916,25927,1,Y,Y,23,4,4,80,2,9,2,3,9,1,0,8,최지하
394,31,N,없음,587,판매,2,4,생명과학,1,1324,4,여자,57,3,3,영업사원,3,이혼,9852,8935,1,Y,Y,19,3,1,80,1,10,5,2,10,8,9,6,이지하
395,31,Y,많음,1060,판매,1,3,생명과학,1,1331,4,여자,54,3,1,영업 담당자,2,미혼,2302,8319,1,Y,Y,11,3,1,80,0,3,2,4,3,2,2,2,안지지
396,55,N,적음,282,연구개발,2,2,의학,1,1336,4,여자,58,1,5,매니저,3,결혼,19187,6992,4,Y,N,14,3,4,80,1,23,5,3,19,9,9,11,윤다서
397,41,N,많음,1018,판매,1,3,마케팅,1,1349,3,여자,66,3,2,영업사원,1,이혼,4103,4297,0,Y,N,17,3,4,80,1,10,2,3,9,3,1,7,권재시
398,38,N,적음,1009,판매,2,2,생명과학,1,1355,2,여자,31,3,2,영업사원,1,이혼,6893,19461,3,Y,N,15,3,4,80,1,11,3,3,7,7,1,7,조다이
399,34,N,적음,507,판매,15,2,의학,1,1356,3,여자,66,3,2,영업사원,1,미혼,6125,23553,1,Y,N,12,3,4,80,0,10,6,4,10,8,9,6,오하지
400,58,Y,적음,601,연구개발,7,4,의학,1,1360,3,여자,53,2,3,제조 디렉터,1,결혼,10008,12023,7,Y,Y,14,3,4,80,0,31,0,2,10,9,5,9,서유솔
401,36,N,많음,607,판매,7,3,마케팅,1,1362,1,여자,83,4,2,영업사원,1,결혼,4639,2261,2,Y,N,16,3,4,80,1,17,2,2,15,7,6,13,강유하
402,27,N,적음,1291,판매,11,3,의학,1,1364,3,여자,98,4,1,영업 담당자,4,결혼,2534,6527,8,Y,N,14,3,2,80,1,5,4,3,1,0,0,0,김수하
403,51,N,적음,1405,연구개발,11,2,기술학위,1,1367,4,여자,82,2,4,제조 디렉터,2,미혼,13142,24439,3,Y,N,16,3,2,80,0,29,1,2,5,2,0,3,송유서
404,18,N,없음,1124,연구개발,1,3,생명과학,1,1368,4,여자,97,3,1,연구원,4,미혼,1611,19305,1,Y,N,15,3,3,80,0,0,5,4,0,0,0,0,박송련
405,35,N,적음,817,연구개발,1,3,의학,1,1369,4,여자,60,2,2,연구원,4,결혼,5363,10846,0,Y,N,12,3,2,80,1,10,0,3,9,7,0,0,신지서
406,34,N,없음,999,연구개발,26,1,기술학위,1,1374,1,여자,92,2,1,분석가,3,이혼,2029,15891,1,Y,N,20,4,3,80,3,5,2,3,5,4,0,0,백유은
407,40,N,적음,1202,연구개발,2,1,의학,1,1375,2,여자,89,4,2,의료 담당자,3,이혼,6377,13888,5,Y,N,20,4,2,80,3,15,0,3,12,11,11,8,이서서
408,31,Y,많음,703,판매,2,3,생명과학,1,1379,3,여자,90,2,1,영업 담당자,4,미혼,2785,11882,7,Y,N,14,3,3,80,0,3,3,4,1,0,0,0,윤미우
409,35,Y,많음,662,판매,18,4,마케팅,1,1380,4,여자,67,3,2,영업사원,3,결혼,4614,23288,0,Y,Y,18,3,3,80,1,5,0,2,4,2,3,2,차주하
410,34,N,적음,404,연구개발,2,4,기술학위,1,1383,3,여자,98,3,2,의료 담당자,4,미혼,6687,6163,1,Y,N,11,3,4,80,0,14,2,4,14,11,4,11,김예아
411,41,N,많음,1200,연구개발,22,3,생명과학,1,1392,4,여자,75,3,2,분석가,4,이혼,5467,13953,3,Y,Y,14,3,1,80,2,12,4,2,6,2,3,3,한은원
412,52,N,많음,322,연구개발,28,2,의학,1,1401,4,여자,59,4,4,제조 디렉터,3,결혼,13247,9731,2,Y,Y,11,3,2,80,1,24,3,2,5,3,0,2,양소원
413,43,N,적음,930,연구개발,6,3,의학,1,1402,1,여자,73,2,2,분석가,3,미혼,4081,20003,1,Y,Y,14,3,1,80,0,20,3,1,20,7,1,8,정서저
414,27,N,적음,205,판매,10,3,마케팅,1,1403,4,여자,98,2,2,영업사원,4,결혼,5769,7100,1,Y,Y,11,3,4,80,0,6,3,3,6,2,4,4,박하미
415,27,Y,적음,135,연구개발,17,4,생명과학,1,1405,4,여자,51,3,1,분석가,3,미혼,2394,25681,1,Y,Y,13,3,4,80,0,8,2,3,8,2,7,7,홍유비
416,42,N,적음,1147,인적자원,10,3,인적자원,1,1408,3,여자,31,3,4,매니저,1,결혼,16799,16616,0,Y,N,14,3,3,80,1,21,5,3,20,7,0,9,장주안
417,52,N,적음,258,연구개발,8,4,기타,1,1409,3,여자,54,3,1,연구원,1,결혼,2950,17363,9,Y,N,13,3,3,80,0,12,2,1,5,4,0,4,임주지
418,37,N,적음,1462,연구개발,11,3,의학,1,1411,1,여자,94,3,1,연구원,3,미혼,3629,19106,4,Y,N,18,3,1,80,0,8,6,3,3,2,0,2,정미연
419,29,Y,많음,337,연구개발,14,1,기타,1,1421,3,여자,84,3,3,의료 담당자,4,미혼,7553,22930,0,Y,Y,12,3,1,80,0,9,1,3,8,7,7,7,이하주
420,54,N,적음,971,연구개발,1,3,의학,1,1422,4,여자,54,3,4,연구 디렉터,4,미혼,17328,5652,6,Y,N,19,3,4,80,0,29,3,2,20,7,12,7,최주지
421,58,N,적음,1055,연구개발,1,3,의학,1,1423,4,여자,76,3,5,연구 디렉터,1,결혼,19701,22456,3,Y,Y,21,4,3,80,1,32,3,3,9,8,1,5,이연선
422,36,N,적음,1174,판매,3,4,마케팅,1,1425,1,여자,99,3,2,영업사원,2,미혼,9278,20763,3,Y,Y,16,3,4,80,0,15,3,3,5,4,0,1,한하늘
423,31,Y,많음,667,판매,1,4,생명과학,1,1427,2,여자,50,1,1,영업 담당자,3,미혼,1359,16154,1,Y,N,12,3,2,80,0,1,3,3,1,0,0,0,박시서
424,30,N,적음,855,판매,7,4,마케팅,1,1428,4,여자,73,3,2,영업사원,1,이혼,4779,12761,7,Y,N,14,3,2,80,2,8,3,3,3,2,0,2,손세미
425,31,N,적음,182,연구개발,8,5,생명과학,1,1430,1,여자,93,3,4,연구 디렉터,2,미혼,16422,8847,3,Y,N,11,3,3,80,0,9,3,4,3,2,1,0,조채저
426,31,Y,적음,202,연구개발,8,3,생명과학,1,1433,1,여자,34,2,1,분석가,2,미혼,1261,22262,1,Y,N,12,3,3,80,0,1,3,4,1,0,0,0,한채서
427,36,N,적음,329,판매,16,4,마케팅,1,1436,3,여자,98,2,2,영업사원,1,결혼,5647,13494,4,Y,N,13,3,1,80,2,11,3,2,3,2,0,2,노하슨
428,56,N,적음,1255,연구개발,1,2,생명과학,1,1441,1,여자,90,3,1,분석가,1,결혼,2066,10494,2,Y,N,22,4,4,80,1,5,3,4,3,2,1,0,김주서
429,47,N,적음,359,연구개발,2,4,의학,1,1443,1,여자,82,3,4,연구 디렉터,3,결혼,17169,26703,3,Y,N,19,3,2,80,2,26,2,4,20,17,5,6,김나은
430,24,N,적음,1476,판매,4,1,의학,1,1445,4,여자,42,3,2,영업사원,3,결혼,4162,15211,1,Y,Y,12,3,3,80,2,5,3,3,5,4,0,3,신새아
431,34,N,적음,401,연구개발,1,3,생명과학,1,1447,4,여자,86,2,1,연구원,2,결혼,3294,3708,5,Y,N,17,3,1,80,1,7,2,2,5,4,0,2,이하동
432,39,Y,없음,592,연구개발,2,3,생명과학,1,1458,1,여자,54,2,1,연구원,1,미혼,3646,17181,2,Y,Y,23,4,2,80,0,11,2,4,1,0,0,0,이유리
433,31,Y,많음,1445,연구개발,1,5,생명과학,1,1459,3,여자,100,4,3,제조 디렉터,2,미혼,7446,8931,1,Y,N,11,3,1,80,0,10,2,3,10,8,4,7,박은원
434,31,N,적음,1398,인적자원,8,2,의학,1,1461,4,여자,96,4,1,인적자원,2,미혼,2109,24609,9,Y,N,18,3,4,80,0,8,3,3,3,2,0,2,김아준
435,34,Y,적음,1107,인적자원,9,4,기술학위,1,1467,1,여자,52,3,1,인적자원,3,결혼,2742,3072,1,Y,N,15,3,4,80,0,2,0,3,2,2,2,2,조소연
436,42,N,많음,748,연구개발,9,2,의학,1,1480,1,여자,74,3,1,연구원,4,미혼,3673,16458,1,Y,N,13,3,3,80,0,12,3,3,12,9,5,8,한지주
437,44,N,많음,383,판매,1,5,마케팅,1,1481,1,여자,79,3,2,영업사원,3,결혼,4768,9282,7,Y,N,12,3,3,80,1,11,4,2,1,0,0,0,이지수
438,29,Y,많음,115,판매,13,3,기술학위,1,1487,1,여자,51,3,2,영업사원,2,미혼,5765,17485,5,Y,N,11,3,1,80,0,7,4,1,5,3,0,0,이미지
439,34,Y,적음,790,판매,24,4,의학,1,1489,1,여자,40,2,2,영업사원,2,미혼,4599,7815,0,Y,Y,23,4,3,80,0,16,2,4,15,9,10,10,김하비
440,24,N,없음,830,판매,13,2,생명과학,1,1495,4,여자,78,3,1,영업 담당자,2,결혼,2033,7103,1,Y,N,13,3,3,80,1,1,2,3,1,0,0,0,이은연
441,33,N,적음,1099,연구개발,4,4,의학,1,1502,1,여자,82,2,1,연구원,2,결혼,3838,8192,8,Y,N,11,3,4,80,0,8,5,3,5,4,0,2,이연미
442,47,N,적음,571,판매,14,3,의학,1,1503,3,여자,78,3,2,영업사원,3,결혼,4591,24200,3,Y,Y,17,3,3,80,1,11,4,2,5,4,1,2,문지미
443,49,N,적음,271,연구개발,3,2,의학,1,1509,3,여자,43,2,2,연구원,1,결혼,4789,23070,4,Y,N,25,4,1,80,1,10,3,3,3,2,1,2,임미원
444,29,N,많음,410,연구개발,2,1,생명과학,1,1513,4,여자,97,3,1,연구원,2,결혼,3180,4668,0,Y,N,13,3,3,80,3,4,3,3,3,2,0,2,조저연
445,54,N,많음,1050,연구개발,11,4,의학,1,1520,2,여자,87,3,4,매니저,4,이혼,16032,24456,3,Y,N,20,4,1,80,1,26,2,3,14,9,1,12,최송서
446,39,N,적음,1089,연구개발,6,3,생명과학,1,1525,2,여자,32,3,3,제조 디렉터,2,미혼,8376,9150,4,Y,N,18,3,4,80,0,9,3,3,2,0,2,2,박서저
447,46,N,적음,228,판매,3,3,생명과학,1,1527,3,여자,51,3,4,매니저,2,결혼,16606,11380,8,Y,N,12,3,4,80,1,23,2,4,13,12,5,1,전하연
448,35,N,적음,1029,연구개발,16,3,생명과학,1,1529,4,여자,91,2,3,의료 담당자,2,미혼,8606,21195,1,Y,N,19,3,4,80,0,11,3,1,11,8,3,3,김미하
449,31,Y,많음,561,연구개발,3,3,생명과학,1,1537,4,여자,33,3,1,분석가,3,미혼,4084,4156,1,Y,N,12,3,1,80,0,7,2,1,7,2,7,7,임수은
450,29,N,적음,441,연구개발,8,1,기타,1,1544,3,여자,39,1,2,의료 담당자,1,결혼,9715,7288,3,Y,N,13,3,3,80,1,9,3,3,7,7,0,7,강은지
451,35,N,적음,1402,판매,28,4,생명과학,1,1554,2,여자,98,2,1,영업 담당자,3,결혼,2430,26204,0,Y,N,23,4,1,80,2,6,5,3,5,3,4,2,김유미
452,32,N,적음,824,연구개발,5,2,생명과학,1,1555,4,여자,67,2,2,분석가,2,결혼,5878,15624,3,Y,N,12,3,1,80,1,12,2,3,7,1,2,5,고주원
453,48,N,적음,492,판매,16,4,생명과학,1,1557,3,여자,96,3,2,영업사원,3,이혼,6439,13693,8,Y,N,14,3,3,80,1,18,2,3,8,7,7,7,김지은
454,35,Y,적음,104,연구개발,2,3,생명과학,1,1569,1,여자,69,3,1,연구원,1,이혼,2074,26619,1,Y,Y,12,3,4,80,1,1,2,3,1,0,0,0,신저리
455,53,Y,적음,607,연구개발,2,5,기술학위,1,1572,3,여자,78,2,3,제조 디렉터,4,결혼,10169,14618,0,Y,N,16,3,2,80,1,34,4,3,33,7,1,9,남소리
456,48,N,적음,1108,연구개발,15,4,기타,1,1576,3,여자,65,3,1,분석가,1,결혼,2367,16530,8,Y,N,12,3,4,80,1,10,3,2,8,2,7,6,윤이하
457,26,N,적음,474,연구개발,3,3,생명과학,1,1581,1,여자,89,3,1,분석가,4,결혼,2061,11133,1,Y,N,21,4,1,80,0,1,5,3,1,0,0,0,고저연
458,38,N,적음,437,판매,16,3,생명과학,1,1583,2,여자,90,3,2,영업사원,2,미혼,4198,16379,2,Y,N,12,3,2,80,0,8,5,4,3,2,1,2,이소은
459,36,N,적음,884,판매,1,4,생명과학,1,1585,2,여자,73,3,2,영업사원,3,미혼,6815,21447,6,Y,N,13,3,1,80,0,15,5,3,1,0,0,0,양승지
460,35,N,적음,670,연구개발,10,4,의학,1,1587,1,여자,51,3,2,의료 담당자,3,미혼,6142,4223,3,Y,Y,16,3,3,80,0,10,4,3,5,2,0,4,장연윤
461,40,N,적음,118,판매,14,2,생명과학,1,1598,4,여자,84,3,2,영업사원,1,결혼,4639,11262,1,Y,N,15,3,3,80,1,5,2,3,5,4,1,2,김주윤
462,22,N,없음,457,연구개발,26,2,기타,1,1605,2,여자,85,2,1,분석가,3,결혼,2814,10293,1,Y,Y,14,3,2,80,0,4,2,2,4,2,1,3,김시경
463,32,N,적음,634,연구개발,5,4,기타,1,1607,2,여자,35,4,1,분석가,4,결혼,3312,18783,3,Y,N,17,3,4,80,2,6,3,3,3,2,0,2,박유영
464,44,N,적음,1313,연구개발,7,3,의학,1,1608,2,여자,31,3,5,연구 디렉터,4,이혼,19049,3549,0,Y,Y,14,3,4,80,1,23,4,2,22,7,1,10,홍재른
465,45,N,적음,1015,연구개발,5,5,의학,1,1611,3,여자,50,1,2,연구원,1,미혼,5769,23447,1,Y,Y,14,3,1,80,0,10,3,3,10,7,1,4,안미지
466,36,N,적음,559,연구개발,12,4,생명과학,1,1614,3,여자,76,3,2,제조 디렉터,3,결혼,4663,12421,9,Y,Y,12,3,2,80,2,7,2,3,3,2,1,1,박소리
467,49,N,적음,722,연구개발,25,4,생명과학,1,1617,3,여자,84,3,1,연구원,1,결혼,3211,22102,1,Y,N,14,3,4,80,1,10,3,2,9,6,1,4,이미연
468,28,N,적음,580,연구개발,27,3,의학,1,1622,2,여자,39,1,2,제조 디렉터,1,이혼,4877,20460,0,Y,N,21,4,2,80,1,6,5,2,5,3,0,0,김태하
469,18,Y,많음,544,판매,3,2,의학,1,1624,2,여자,70,3,1,영업 담당자,4,미혼,1569,18420,1,Y,Y,12,3,3,80,0,0,2,4,0,0,0,0,조서비
470,47,N,적음,1176,인적자원,26,4,생명과학,1,1625,4,여자,98,3,5,매니저,3,결혼,19658,5220,3,Y,N,11,3,3,80,1,27,2,3,5,2,1,0,송지연
471,40,N,적음,884,연구개발,15,3,생명과학,1,1628,1,여자,80,2,3,제조 디렉터,3,결혼,10435,25800,1,Y,N,13,3,4,80,2,18,2,3,18,15,14,12,이저연
472,35,N,없음,208,연구개발,8,4,생명과학,1,1630,3,여자,52,3,2,의료 담당자,3,결혼,4148,12250,1,Y,N,12,3,4,80,1,15,5,3,14,11,2,9,박세은
473,39,N,많음,711,연구개발,4,3,의학,1,1633,1,여자,81,3,2,제조 디렉터,3,미혼,5042,3140,0,Y,N,13,3,4,80,0,10,2,1,9,2,3,8,윤수서
474,45,N,적음,1329,연구개발,2,2,기타,1,1635,4,여자,59,2,2,제조 디렉터,4,이혼,5770,5388,1,Y,N,19,3,1,80,2,10,3,3,10,7,3,9,민서견
475,38,N,적음,397,연구개발,2,2,의학,1,1638,4,여자,54,2,3,제조 디렉터,3,결혼,7756,14199,3,Y,Y,19,3,4,80,1,10,6,4,5,4,0,2,조지은
476,37,N,적음,1470,연구개발,10,3,의학,1,1640,2,여자,71,3,1,분석가,2,결혼,3936,9953,1,Y,N,11,3,1,80,1,8,2,1,8,4,7,7,손소주
477,40,N,적음,448,연구개발,16,3,생명과학,1,1641,3,여자,84,3,3,제조 디렉터,4,미혼,7945,19948,6,Y,Y,15,3,4,80,0,18,2,2,4,2,3,3,정은윤
478,24,N,많음,567,연구개발,2,1,기술학위,1,1646,1,여자,32,3,1,분석가,4,미혼,3760,17218,1,Y,Y,13,3,3,80,0,6,2,3,6,3,1,3,이다수
479,27,N,적음,486,연구개발,8,3,의학,1,1647,2,여자,86,4,1,분석가,3,결혼,3517,22490,7,Y,N,17,3,1,80,0,5,0,3,3,2,0,2,임수리
480,36,N,적음,711,연구개발,5,4,생명과학,1,1651,2,여자,42,3,3,의료 담당자,1,결혼,8008,22792,4,Y,N,12,3,3,80,2,9,6,3,3,2,0,2,윤은원
481,49,N,적음,301,연구개발,22,4,기타,1,1655,1,여자,72,3,4,연구 디렉터,2,결혼,16413,3498,3,Y,N,16,3,2,80,2,27,2,3,4,2,1,2,문지하
482,50,N,적음,813,연구개발,17,5,생명과학,1,1656,4,여자,50,2,3,연구 디렉터,1,이혼,13269,21981,5,Y,N,15,3,3,80,3,19,3,3,14,11,1,11,송이원
483,20,N,적음,1141,판매,2,3,의학,1,1657,3,여자,31,3,1,영업 담당자,3,미혼,2783,13251,1,Y,N,19,3,1,80,0,2,3,3,2,2,2,2,이수미
